Produto,Laboratorio
SUCC.DESVENLAFA MG,TEUTO BRASILEIRO
PREDSIGMA,MULTILAB
FRESOFLOX,FRESENIUS KABI
MIOGESIC LIS,EMS PHARMA
EAU THERMALE,LA ROCHE POSAY
L-ENEMA,NATULAB
DON,EUROFARMA
FLANAX XR,BAYER CC
NAPRONAX,NEO QUIMICA
ASCENDA,NESTLE
FOLIFOLIN,EMS PHARMA
OSSOTRAT-D,CELLERA FARMA
BIO LENT,TEUTO BRASILEIRO
ALENDRONATO SOD.MG,EMS PHARMA
CLOR. LIDOCAINA MG,EMS PHARMA
TADA DIARIO,EUROFARMA
CASTANHA INDIA CPT,MAKROFARMA
NOCICLIN,EMS PHARMA
EMSCORT,EMS PHARMA
PARATRAM,ADIUM
PLAQ,EUROFARMA
PREDNISONA MG,GLOBO
CABERGOLINA MG,EUROFARMA
CLO METILFENIDA MG,TEVA
DOCELIBBS,LIBBS
BENEGRIP MUL NOITE,HYPERA CH
BELFACTRIN F,BELFAR
AC CIPROTERONA MG,BERGAMO
KALYME,ACHE
CIT SILDENAFILA MG,SANDOZ
NIMEGON,SUPERA RX
ACTONEL,THERAMEX
QUERA LP,CRISTALIA
RISEDRONATO SOD.MG,ALTHAIA S/A
SULF.HIDROXICLO MG,EUROFARMA
ESPRAN,TORRENT
A B C,HERTZ
SOL SALINA BALANCE,HALEXISTAR
RIVAROXABANA MG,MEDLEY
RAHIME,APSEN
GESICO RETARD,EUROFARMA
SEDATIF PC,BOIRON
PAXTRAT,UNIAO QUIMICA F N
MYDRIACYL,ALCON
LIPISTATINA,MULTILAB
HEMOLENTA,EUROFARMA
CLOR.MEMANTINA MG,BIOLAB-SANUS FARMA
FERISEPT,UNIAO QUIMICA F N
CICAPLAST BAUM B5+,LA ROCHE POSAY
SANDIMMUN NEORAL,NOVARTIS
ALIMTA,LILLY
NIST+OXID.ZINCO MG,GERMED PHARMA
PARACETA+PSEUDO MG,GERMED PHARMA
ROZEX,GALDERMA
REMILEV,ACHE
SULFAMET+TRIMET.MG,EMS PHARMA
KEFADIM,ABL ANTIBIOTICOS
CLEANANCE UV,AVENE
ANACAPS,DUCRAY
ZYMAR,ALLERGAN
NUTRIFLEX LIPID PL,BRAUN
PERGO,EUROFARMA
CLISTEROL,J.P.
ROSUVASTATI CAL MG,NOVARTIS
CLOR PROPAFENON MG,EUROFARMA
EPISOL SMART COLOR,MANTECORP FARMASA
VANNAIR,ASTRAZENECA BRASIL
ALOXIDIL,THERASKIN
CLOR. AMBROXOL MG,AIRELA IND FARM
ADINOS,ACHE
DESOGESTREL MG,EMS PHARMA
FENAREN GEL,UNIAO QUIMICA F N
FINASTERIDA MG,LEGRAND
SEMTRI,BIOLAB-SANUS FARMA
NIMESILAM,EMS PHARMA
CLOR.ONDANSETRO MG,MEDLEY
TOBRAMICINA MG,GEOLAB
TRAVOPROSTA MG,MEDLEY
REDOXITOS,BAYER CC
ENO PROBIOTICO,HALEON
CITR.TAMOXIFENO MG,BLAU FARMACEUTICA
TORHANZ,DR. REDDYS
CLOR.BUPROPIONA MG,UNIAO QUIMICA F N
TAMSULON,ADIUM
LUMIER AGE,UNIAO QUIMICA F N
CLOR.PAROXETINA MG,EUROFARMA
OLIMEL,BAXTER
ACIDO VALPROICO MG,BIOLAB-SANUS FARMA
GABAPENTINA MG,EMS PHARMA
NOPROSIL,HALEXISTAR
PERIDAL,MANTECORP FARMASA
MEGA MATER,UNIAO QUIMICA F N
LOREDON,TORRENT
LAMZEDE,CHIESI FARMACEUTIC
ARLIVRY,NATULAB
OXALIBBS,LIBBS
TACFEN,EMS PHARMA
CLOR.ONDANSETRO MG,NEO QUIMICA
SOL GLICOSE,BAXTER
SORBITOL + MANITOL,HALEXISTAR
SODIX,GEOLAB
OMEPRAZOL SODIC.MG,EUROFARMA
DOSTINEX,PFIZER
PREGABALINA MG,CIMED
COR SELECT,BIOLAB-SANUS FARMA
CLOR.FLUOXETINA MG,EUROFARMA
AVALOX,BAYER PHARMA
LIMP LENT,VITAMEDIC
PARACETAMOL MG,TEUTO BRASILEIRO
PIPERACI+TAZOBA.MG,EUGIA PHARMA
AC TRANEXAMICO MG,FRESENIUS KABI
VERTIGOHEEL,HEEL BRASIL B LTDA
PREDNISOLONA MG,NEO QUIMICA
TYFLEN,BRASTERAPICA
CEFAZOLINA SODI MG,ABL ANTIBIOTICOS
SOLUCAO FISIOLOGIC,UNIPHAR
TENYS-PE,BARUEL
DROSPI+ETINILES MG,NOVA QUIMICA
FENOBARBITAL MG,TEUTO BRASILEIRO
PREGABALINA MG,MEDQUIMICA
CLINDAMIN C,TEUTO BRASILEIRO
OMEPRAZOL MG,NOVA QUIMICA
CLOR.FLUOXETINA MG,LEGRAND
DIEVARI,EUROFARMA
BROMOPRIDA MG,HIPOLABOR
TADALAFILA MG,GEOLAB
VICK-MEL,P&G HEALTHCARE
OSTEONIL PLUS,TRB
TRACTOCILE,FERRING
FUROAT.MOMETASO.MG,MEDLEY
FLEDOID,FQM GRUPO
DESOGESTREL MG,NOVARTIS
FAULDOXO,LIBBS
CLOCEF,TEUTO BRASILEIRO
ERTAPENEM SODIC MG,EUGIA PHARMA
PEPSOGEL,LEGRAND
CLOR.FEXOFENADI.MG,RANBAXY
CLOPIDOGREL MG,EUROFARMA
ATELOP,BRACE PHARMA
VILDAG+CL METFO MG,ALTHAIA S/A
MAXAPRAN,ACHE
VELUS,APSEN
IMESCARD ERVA BICH,OSORIO MORAES
AMPLICTIL,SANOFI
MALEA LEVOMEPRO MG,HIPOLABOR
CLOR. VERAPAMIL MG,ACHE
AZI,EMS PHARMA
CLOR.FEXOFENADI.MG,EUROFARMA
GABALLON,ZYDUS BRASIL
CIMETIDINA MG,TEUTO BRASILEIRO
LABIRIN XR,APSEN
DIM LISDEXANFET MG,NOVA QUIMICA
AVENE SOLAR,AVENE
DICLOFEN.POTASI MG,CIMED
VAZIDIN MR,PHARLAB
ANTI-SEPTICO CLO,HERTZ
CIPROFIBRATO MG,CIMED
PURAVIT MULTI,MYRALIS
HOMINUS,EUROFARMA
CLOR.FLUOXETINA MG,GERMED PHARMA
RESTYLANE REFYNE,GALDERMA
BIOGRIPE,UNIAO QUIMICA F N
GINNA,EUROFARMA
MONBOC,EMS PHARMA
CLOR.SERTRALINA MG,GLOBO
XEFO,BIOLAB-SANUS FARMA
DIPIRONA MONOID MG,GERMED PHARMA
GASTROBION,HERTZ
LIVTENCITY,TAKEDA PHARMA
CARBONATO LITIO MG,HIPOLABOR
BECAN LF,ARESE
CLOR.DONEPEZILA MG,MEDLEY
SOL GLICOSE,FARMACE
GLAMIGAN MT,OFTA VISION HEALTH
CERTICAN,NOVARTIS
MESALAZINA MG,EMS PHARMA
ACETILCISTEINA MG,MCG
RIFOCINA,SANOFI
ROX,EUROFARMA
PROMENSIL,FQM GRUPO
BORTEZOMIBE MG,DR. REDDYS
CLO HIDROXIZINA MG,LEGRAND
BUTACID,VITAMEDIC
FENITAL,CRISTALIA
CLOR.FEXOFENADI.MG,GERMED PHARMA
UMBRELLA PERF SKIN,MEGALABS
DERIVA MICRO,MANTECORP FARMASA
LANS+CLAR+AMOX MG,TEUTO BRASILEIRO
NEO FOLICO,NEO QUIMICA
DRAMAVIT B6,NEO QUIMICA
CANABIDIOL PROMEDI,BIOLAB-SANUS FARMA
CALDE,MARJAN
LANICO,SUPERA RX
FEXX,CIMED
VIVERDAL,UNIAO QUIMICA F N
HERPSTAL,USK DERMATOLOGY
CLO TERBINAFINA MG,ACHE
MAL.DEXCLO+BETA.MG,PRATI DONADUZZI
LOSART.PO.+HCTZ MG,BIOLAB-SANUS FARMA
ACICLOVIR MG,LEGRAND
VYZULTA,BAUSCH & LOMB
FOS CLINDAMICIN MG,UNIAO QUIMICA F N
EXIMIA FORTALIZE,FQM GRUPO
FUNCHICOREA,MELPOEJO
LOSARTAN POTAS.MG,ACHE
VORIC,EUROFARMA
AMOXICILINA MG,ACHE
LIFTACTIVE SUPREME,VICHY
DHIVAS,SUPERA RX
DERMOTIVIN CONTROL,GALDERMA
MONTELUCASTE SO MG,GEOLAB
DIAZEPAM MG,GERMED PHARMA
SULFAMET+TRIMET.MG,VITAMEDIC
SULF.NEOM+BACIT.MG,CIMED
PROTHROMPLEX-T,TAKEDA PHARMA
CETROTIDE,MERCK
CALCIPLEX,ECOFITUS LABORATOR
DIGESAN,EUROFARMA
DICLOFEN.DIETIL.MG,NEO QUIMICA
PARKIDOPA,CRISTALIA
MAXIMUS A-Z,CIFARMA
SEEBRI,NOVARTIS
DERMACERIUM,CRISTALIA
COTELLIC,ROCHE
DIBEN,FRESENIUS KABI
OLANZAPINA MG,EMS PHARMA
EGIDE,LIBBS
ISOSOURCE SOYA,NESTLE
UMMA,EXELTIS
RILEX,INOVATEX
SEMBLE COLLAGEN UL,ACHE
CLO LERCANIDIPI MG,EMS PHARMA
PREGNOLAN,CIFARMA
CIBINQO,PFIZER
OX ESCITALOPRAM MG,LEGRAND
DIPIRONA SODICA MG,ACHE
ATEROMA,SUPERA RX
AGRASTAT,ASPEN PHARMA
DESOGESTREL MG,UNIAO QUIMICA F N
RUBIA,ACHE
CEFTRIAXONA SOD.MG,EUGIA PHARMA
ISORDIL,EMS PHARMA
HYLO COMOD,FBM FARMA
EUCERIN PH5,BEIERSDORF
FLUCISTEIN,UNIAO QUIMICA F N
NOLVADEX-D,ASTRAZENECA BRASIL
OX ESCITALOPRAM MG,NEO QUIMICA
CLOR.DULOXETINA MG,EUROFARMA
HIDRALI 45,AIRELA IND FARM
FUMASIL,FQM GRUPO
LONCORD RETARD,DIFFUCAP-CHEMOBRAS
TOBRAZOL,TEVA
ALPES XL,SUPERA RX
INELATTE ZERO,ACHE
FLUX SR,BIOLAB-SANUS FARMA
DHALGA,MYRALIS
DOMPERIDONA MG,CIMED
TARGIN,MUNDIPHARMA
DDAVP,FERRING
DAAZ,BEMOL FARMA
AXETIL CEFUROXI.MG,TEUTO BRASILEIRO
CLO ROPIVACAINA MG,HYPOFARMA
RENNOVA LIFT,INNOVAPHARMA
HYCLIN,HYPOFARMA
AC.CIPRO+ETINIL MG,ACHE
TARGIFOR IMUNIDADE,SANOFI CHC
VALPROATO SODIO MG,HIPOLABOR
CARDOMARIN,NATULAB
GCIB,CRISTALIA
ZIRVIT PLUS,ARESE
ERITROPOETINA,CHRON EPIGEN
ADDERA KIDS,MANTECORP FARMASA
BECLONATO,NEO QUIMICA
SOLIQUA,SANOFI
ELATIUM,PRATI DONADUZZI
PREDNISOLONA MG,GERMED PHARMA
NERVOCALM,WALDEMIRO PEREIRA
OCITOCINA MG,BLAU FARMACEUTICA
FORTINI,DANONE MEDICAL NUT
VITAMIN ACTIV CG,AVENE
CLO ZIPRASIDONA MG,EMS PHARMA
AMPLICTIL PSIQUIA.,SANOFI
CLINDOXYL CONTROL,MEGALABS
CICABIO,BIODERMA
SULF.HIDROXICLO MG,MEDLEY
VALCYTE,BIOPAS
MEGA DHA,VITAFOR
CLARILIB,BLAU FARMACEUTICA
VEEPI,TORRENT
BROMETO IPRATRO.MG,TEUTO BRASILEIRO
TEBONIN,SCHWABE HERBARIUM
BIO INSTINTO,BIO INSTINTO
FLEXITREX,ADIUM
HEM ZOLPIDEM MG,NOVARTIS
G-TECH,ACCUMED PROD M HOS
STILL,ALLERGAN
NIMELIT,VITAMEDIC
ARIPIPRAZOL MG,ZYDUS BRASIL
OFT VISC,OFT VISION
SINVASCOR,BALDACCI
INALAJET,LEGRAND
DEFITELIO,ADIUM
CALCIODEX,HERTZ
TRISORB,ALCON
CLOR.FEXOFENADI.MG,MEDLEY
CONLIFE,FARMA CONDE
TENADREN,EMS PHARMA
MIRACALCIO VIT D,GEOLAB
OLMES ME+ANLODI MG,EMS PHARMA
CRISAPINA,CRISTALIA
DIPROP.BETAMETA.MG,EMS PHARMA
ALLENASAL,SANOFI CHC
PEDILETAN,CIMED
FOSTIMON-M,BESINS HEALTHCARE
PREGABALINA MG,ALTHAIA S/A
FIGMED,CIMED
CLOR. AMBROXOL MG,EMS PHARMA
CALADRYL,EMS PHARMA
CIMEGRIPE C+ZINCO,CIMED
BETNOVATE,STIEFEL
HALO,CRISTALIA
SINVASTATINA MG,GERMED PHARMA
VITAMINA C,FARMACE
GENRYZON,PFIZER
CLOR.SERTRALINA MG,CIMED
CLAVULIN ES,GSK
STER MD,UNIAO QUIMICA F N
POINTTS,GENOMMA LAB
STAMARIL,SANOFI PASTEUR
GLAMIGAN RC,OFTA VISION HEALTH
VAC CONTRA VARICE,MERCK SHARP DOHME
HYPOCAINA,HYPOFARMA
TAXILAN,BERGAMO
EQUALIV OMEGA3 KID,ALTHAIA S/A
ERYFOTONA AK-NMSC,ISDIN
PANTASUN,SUN PHARMA
MIRTAZAPINA MG,NOVA QUIMICA
ETODOLACO MG,ALTHAIA S/A
BWELL PARACETAMOL,RAIA DROGASIL
ELIXIR PAREGORICO,CATARINENSE PHARMA
PANTOPRAZOL MG,GERMED PHARMA
VITAMINA D3,BIOLAB-SANUS FARMA
CETOFENID INJ,TEUTO BRASILEIRO
ACCU-CHEK SAF-T-PR,ROCHE
CEBION,P&G HEALTHCARE
BIMATOPROSTA MG,EMS PHARMA
CLOR.TANSULOSI MG,EUROFARMA
FREESTYLE LIBRE,ABBOTT
OFOLATO SOP,MANTECORP FARMASA
ROCEFIN,ROCHE
TRAUMEEL S POM,HEEL BRASIL B LTDA
RESTASIS,ALLERGAN
TAR METOPROLOL MG,ACHE
ZARGUS,ACHE
FIXADERME,EUROFARMA
BROM.ROCURONIO MG,VOLPHARMA
PRESERVIT,CRISTALIA
BENESTARE,ASPEN PHARMA
ARIA,EUROFARMA
ABIDOR,AIRELA IND FARM
MAL FLUVOXAMINA MG,BIOLAB-SANUS FARMA
ARICILINA,BLAU FARMACEUTICA
PIPTA,TEUTO BRASILEIRO
BODY PROTEIN,ALTHAIA S/A
GONAPEPTYL,FERRING
KLEV,ACHE
NEOSIL,USK DERMATOLOGY
DERMODEX PREVENT,RECKITT BENCKISER
TYKERB,NOVARTIS
GANCICLOVIR SOD.MG,EUROFARMA
CLOR.CLOMIPRAMI.MG,GERMED PHARMA
ATORVASTATINA MG,NOVA QUIMICA
BROMELIN S,HEBRON/QUEZALON
HEPTOLIV,KRESS IND FARMOQ
ADVIPRO,HALEON
CLOR PROPAFENON MG,PRATI DONADUZZI
DOMPERIDONA MG,NEO QUIMICA
MUCOSOLVAN,SANOFI CHC
KURAMEDHEMOFISS,CIMED
PIVAST,EUROFARMA
D3CAPS,UNIAO QUIMICA F N
VITACID ACNE,THERASKIN
MON ISOSSORBIDA MG,BIOLAB-SANUS FARMA
ACICLOVIR MG,RANBAXY
PENTOXIFILINA MG,GERMED PHARMA
EMISTIN,EMS PHARMA
CLOTRIMAZOL MG,EMS PHARMA
METILDOPA MG,PRATI DONADUZZI
OMATER GEST,HERBARIUM
MALEAT.DEXCLORF.MG,CIMED
NESH FERRO,NUNESFARMA
TOLERIANE SENSITIV,LA ROCHE POSAY
NEUTROFER PREV,EMS PHARMA
CLOR NEBIVOLOL MG,EMS PHARMA
BUTIL ES+D S GO MG,HIPOLABOR
AC DEXAMETASONA MG,EMS PHARMA
TROL PAR,SUPERA RX
POLICLAVUMOXIL BD,MULTILAB
ADAPTIS FRESH,OFTA VISION HEALTH
FITOSCAR,APSEN
TAR BRIMONIDINA MG,GEOLAB
SANASAR,HERTZ
SIMETICONA MG,TEUTO BRASILEIRO
ZYVOX,PFIZER
LACTBEN,MAYBEN PHARMACEUTI
XALOFTAL,GBIO
CLOR. AMBROXOL MG,PRATI DONADUZZI
SOMALIUM,ACHE
HYCIMET,HYPOFARMA
MUSTELA MATERNITE,EXPANSCIENCE
METRONIDAZOL MG,J.P.
TORAGESIC OFTA,OFTA VISION HEALTH
IPSILON,ZYDUS BRASIL
HISTADIN,UNIAO QUIMICA F N
ITRACONAZOL MG,EUROFARMA
GINKGO BILOBA,CATARINENSE PHARMA
HIDROCORTISONA MG,EMS PHARMA
OMEPRAZOL SODIC.MG,TEUTO BRASILEIRO
DOMPERIX,EUROFARMA
AGE EYE ADVANCED,SKINCEUTICALS
LORAX,PFIZER
OLLA,RECKITT BENCKISER
LAVITAN OME 3 MAIS,CIMED
CLO TRAMA+PARAC MG,EUROFARMA
NEUTROGENA BO CARE,KENVUE
AXETILCEFUROXIM MG,EUROFARMA
SEIZLA,TORRENT
MENQUADFI,SANOFI
ACEBROFILINA MG,EMS PHARMA
TEICOPLANINA MG,EUROFARMA
DIGEDRAT,MANTECORP FARMASA
PYLORIPAC RETRAT,MEDLEY
CLO PIOGLITAZO MG,EMS PHARMA
CET+D.BET+S.NEO MG,CIMED
SUPERCOFFEE,CAFFEINE ARMY
GLIMEPIRIDA MG,CIMED
FENOFIBRATO MG,NOVA QUIMICA
POLYDRAT,PHARMASCIENCE LAB
INNOVATION,LA ROCHE POSAY
XUMER,ADIUM
SILYMARIN CF,SKINCEUTICALS
CANABIDIOL ACHE,ACHE
MINIAN,LIBBS
MELOCOX ODT,EUROFARMA
BROMELIN-PROPOLIS,HEBRON/QUEZALON
ALGE.AC+ENA.EST.MG,LEGRAND
NEOVITE LUTEIN,BAUSCH & LOMB
ANIMATIV,GRUPO TAPAJOS
OPTI FREE REPLENIS,ALCON
SUCC.DESVENLAFA MG,LEGRAND
UNITIDAZIN,UNIAO QUIMICA F N
ESALERG D12,ACHE
EX CANNABIS SATIVA,EASE LABS
VALPROATO SODIO MG,PRATI DONADUZZI
FASLODEX,ASTRAZENECA BRASIL
OMEGATIVE AZ,KRESS IND FARMOQ
NITROP,HYPOFARMA
ACEBROFILINA MG,NEO QUIMICA
ZELLA,MANTECORP FARMASA
EFLUELDA,SANOFI
ACICLOVIR MG,MEDLEY
ROSUVASTATI CAL MG,TEUTO BRASILEIRO
HADLIMA,SAMSUNG
SIMFORT,VITAFOR
ORFADIN,INNOVATIVE MEDICIN
DERMOTIVIN SALIX,GALDERMA
BLUMEL HEDERA,HYPERA CH
PENVIR LABIA,EMS PHARMA
CONFIRME,ALAMAR TECNO-CIENT
DICL MANIDIPINO MG,PHARLAB
SULFAMET+TRIMET.MG,TEUTO BRASILEIRO
ATORVASTATINA MG,TEUTO BRASILEIRO
LEPONEX,VIATRIS
CIPROFIBRATO MG,EUROFARMA
TAVOK,EUROFARMA
GAMUNEX,GRIFOLS BRASIL LTD
Q+ VITTA,A2F LAB FARMACEUTI
CAPTOPRIL MG,TEUTO BRASILEIRO
VANISTO,GSK
FASCIA PRIME,BIOLAB-SANUS FARMA
PONDICILINA,UNIAO QUIMICA F N
DESLORATADINA MG,GERMED PHARMA
PERIOXIDIN,GROSS
VORI,CRISTALIA
GINKOBA,ZYDUS BRASIL
ENGOV UP,HYPERA CH
VITAMINA D3,UNIAO QUIMICA F N
DESLORATADINA MG,PRATI DONADUZZI
SAYPHA,MEGALABS
OMEGA-3,FDC VITAMINAS
CLOR.SERTRALINA MG,TEUTO BRASILEIRO
DAEM,EUROFARMA
NEPHROTECT,FRESENIUS KABI
HYTAMICINA,HYPOFARMA
PROVAGIN,BIOLAB-SANUS FARMA
ZOLTEC,PFIZER
EXIMIA FIR AGE COM,FQM GRUPO
INFANRIX PENTA,GSK
NEO LORATADIN,NEO QUIMICA
AZITROMICINA MG,SANDOZ
CLOR.CIPROFLOXA.MG,BEKER
ZALTRAP,GENZYME
CLOR.METFORMINA MG,VITAMEDIC
UNIMEDROL,UNIAO QUIMICA F N
APIXABANA MG,ZYDUS BRASIL
EBIX,LUNDBECK
ZOLPAZ,UNIAO QUIMICA F N
INPRUV D K,APSEN
EXEMESTANO MG,SUN PHARMA
MUSTELA BIO,EXPANSCIENCE
GLIBENCLAMIDA MG,MEDQUIMICA
ETOMIDATO MG,CRISTALIA
A-OXITIVE,AVENE
CLOR.TANSULOSI MG,NEO QUIMICA
DOXURAN,SANDOZ
SPIDUFEN OTC,ZAMBON
DOIS,CRISTALIA
FRONTAL XR,VIATRIS
DORTRIRELAX,PHARMASCIENCE LAB
ATENOLOL MG,BIOLAB-SANUS FARMA
PROSOY,FQM GRUPO
DERMOVANCE,FQM GRUPO
DIPIRONA SODICA MG,GEOLAB
CLONAZEPAM MG,HIPOLABOR
TOBRAMICINA MG,NEO QUIMICA
BETALOR,ACHE
FUROAT.MOMETASO.MG,EMS PHARMA
LAVITAN PRIM FEMME,CIMED
TENSART,MYRALIS
NIMESULIDA MG,LEGRAND
MALEATO TIMOLOL MG,NEO QUIMICA
CLOR. BROMEXINA MG,MEDLEY
SALSEP,LIBBS
DESLAC,MAXINUTRI
FOS SITAGLIPTIN MG,RANBAXY
TOARIP,TORRENT
TIAG,TORRENT
DROSPI+ETINILES MG,ALTHAIA S/A
FENITOINA MG,TEUTO BRASILEIRO
COMTAN,SANDOZ
NITRA.MICONAZOL MG,PRATI DONADUZZI
CARDBET,MULTILAB
CLOR.ONDANSETRO MG,FRESENIUS KABI
SOSSEG,CIMED
EVOMID,FARMARIN I CO LTDA
OCTALBIN,OCTAPHARMA
LAMOTRIGINA MG,BIOLAB-SANUS FARMA
COLIRIO LEGRAND,LEGRAND
BMETRO+NIS+BENZ MG,PRATI DONADUZZI
SUPREMA,BIOLAB-SANUS FARMA
CLOR.CIPROFLOXA.MG,PHARLAB
ZIDER,LIBBS
GILENYA,NOVARTIS
KLASSIS SPECIALLE,THERASKIN
CETO+DIP BETAME MG,EMS PHARMA
AIRES,EUROFARMA
NIMESULIDA MG,CIFARMA
COLPOTROFINE,THERAMEX
CENTRIX,SINMAX PHARMA
VICK SONOZZZ,P&G HEALTHCARE
NIMESULIDA MG,GERMED PHARMA
ROSUSTATIN,MULTILAB
BROMAZEPAM MG,TEUTO BRASILEIRO
AMOXICILINA MG,NOVA QUIMICA
BLANCY TX NF,MANTECORP FARMASA
MICRODIOL,ORGANON
MERCILON,ORGANON
CLO.TERBINAFINA MG,MEDLEY
OLANZAPINA MG,PRATI DONADUZZI
GROW VIT,CIFARMA
ALPRAZOLAM MG,EUROFARMA
PARACETAMOL MG,BELFAR
AC ZOLEDRONICO MG,CRISTALIA
FLUCISTEIN INJETAV,UNIAO QUIMICA F N
CRISTALIN,UNIAO QUIMICA F N
MYLOTARG,PFIZER
MICROPIL,EMS PHARMA
ONGLYZA,ASTRAZENECA BRASIL
MALEA.ENALAPRIL MG,LEGRAND
BROMOPRIDA MG,FRESENIUS KABI
CETAPHIL PRO AC,GALDERMA
DROGARIA PACHECO,GRUPO DPSP LAB
KETTO,EUROFARMA
SINCRO XR,EUROFARMA
ATIP XR,SUPERA RX
COLAGENO HIDROLISA,MAXINUTRI
SOL RINGER LAC.SOD,J.P.
MICOF.MOFETILA MG,ACCORD FARMACEUTIC
QUITLIS,HEBRON/QUEZALON
ARCALION,SERVIER DO BRASIL
IMIPENEM+CILAST.MG,ABL ANTIBIOTICOS
MELATONINA,CATARINENSE PHARMA
YOMAX,APSEN
CLO PROPRANOLOL MG,PHARLAB
MELOXICAM MG,NEO QUIMICA
SIBLIMA,LIBBS
PELGRAZ,ACCORD FARMACEUTIC
ONDSET INJ,UNIAO QUIMICA F N
CLOPIPLAX,MULTILAB
TRISK,EUROFARMA
CEFAZOLINA SODI MG,EUGIA PHARMA
ZOVIRAX,GSK
DIMAG,MAXINUTRI
DERMOVANCE AI,FQM GRUPO
CLOR.MEMANTINA MG,TEUTO BRASILEIRO
CLOR LOPERAMIDA MG,SANDOZ
UV OIL DEFENSE,SKINCEUTICALS
MONTELUCASTE SO MG,BIOLAB-SANUS FARMA
ZIRVIT MULTI MAX,ARESE
CLOR.AMIODARONA MG,GEOLAB
OPONAP,CAMBER FARMACEUTIC
REFORTRIX IPV,GSK
ACOG,TORRENT
ALDOMET,ASPEN PHARMA
EPISOL ACQUA,MANTECORP FARMASA
CLOR. BROMEXINA MG,GLOBO
NUTRIOL,DARROW
DUROLANE,ZAMBON
FINASTERIDA MG,UNIAO QUIMICA F N
SECNIDAZOL MG,SANDOZ
AMOXIL,GSK
CELECOXIBE MG,TEUTO BRASILEIRO
VIELUT 10,OFTA VISION HEALTH
KELOSIL,LEGRAND
BENECTRIN,MULTILAB
BRYOPHYLLUM AR CUL,WELEDA
LIFTACTIVE SPECIAL,VICHY
LINEZOLIDA MG,EUROFARMA
UREADIN 10,ISDIN
BIO 5,UNIAO QUIMICA F N
MULTISORO 0.5,MULTILAB
ALPRAZOLAM MG,ACHE
POZATO,LIBBS
SOLLY,BIOLAB-SANUS FARMA
GLAMIGAN,OFTA VISION HEALTH
DOZEMAST NP,MARJAN
COZAAR,ORGANON
MALEA.ENALAPRIL MG,BIOLAB-SANUS FARMA
C-TRIPLE,DVN DIVINA PHARMA
VITATOON,MAXINUTRI
FOSAPREPITA DIM MG,DR. REDDYS
ACETON TRIANCIN.MG,EUROFARMA
CAR+DI SO+PA+CA MG,EUROFARMA
CLOTRIMAZOL CR.MG,MEDLEY
LACTOSIL FLORA,APSEN
TINID+NIT.MICON.MG,NEO QUIMICA
GLIVANCE XR,MERCK
CEFADROXILA MG,TEUTO BRASILEIRO
SOYNATI,PHARMASCIENCE LAB
MALEAT.DEXCLORF.MG,PRATI DONADUZZI
LIPIODOL UF,GUERBET
ACCU-CHEK SOFT.II,ROCHE
RETRINAL,AVENE
VERTIZAN,VITAMEDIC
BUTILB ESCOPOLA MG,HYPOFARMA
AIRES XAROPE,EUROFARMA
NEOVADIOL NUTRITIV,VICHY
PRETEN,ACHE
TECTA,TAKEDA PHARMA
BUTILB ES+D SOD MG,HIPOLABOR
ATENOLOL+CLORTA.MG,EMS PHARMA
ATENOLOL+CLORTA.MG,EUROFARMA
CLOR.SERTRALINA MG,RANBAXY
IVY C ACQUA,MANTECORP FARMASA
DICL BETAISTINA MG,GEOLAB
MOBALE,EUROFARMA
DOISKA 180,BIOLAB-SANUS FARMA
STRESSTABS 600 C/Z,HALEON
CLOR. AMBROXOL MG,NATIVITA IND COMER
CLOR SOTALOL MG,MERCK
GARASONE,MANTECORP FARMASA
TINID+NIT.MICON.MG,GEOLAB
ENSPRYNG,ROCHE
CELLCEPT,ROCHE
DALACIN-C,PFIZER
METRONIDAZOL MG,HALEXISTAR
DORMIRE,CRISTALIA
CLOR.OXIMETAZOL.MG,EMS PHARMA
BINELLI,MEGALABS
HEIMER,EUROFARMA
OPTIVE UD,ALLERGAN
DAUF PRO SORO,PAGUE MENOS
CIPROFLOX+DEXA.MG,GEOLAB
MAL TRIMEBUTINA MG,ALTHAIA S/A
CLINDOXYL,GSK
CLO DORZOLAMIDA MG,EMS PHARMA
CLO REMIFENTAN MG,CRISTALIA
CLORETO DE SODIO,BASAL IND FARMACEU
PENKARON,BLAU FARMACEUTICA
BLEMISH-AGE SOLUTI,SKINCEUTICALS
CLOPIDOGREL MG,NOVA QUIMICA
CILODEX,NOVARTIS
CIPRIXIN DEXA,GEOLAB
GOICOECHEA,GENOMMA LAB
BRIXAG,OFTA VISION HEALTH
TYGACIL,PFIZER
ACERATUM,CELLERA FARMA
FLOXICAM,NEO QUIMICA
MIXISTAR,HALEXISTAR
CETOCONAZOL MG,NATIVITA IND COMER
ERITROMAX,BLAU FARMACEUTICA
HUMECTOL D,MANTECORP FARMASA
BAC-SULFITRIN,NEO QUIMICA
PROP.CLOBETASOL MG,GERMED PHARMA
CITARABINA MG,ACCORD FARMACEUTIC
NATRILIX,SERVIER DO BRASIL
SELOKEN,ASTRAZENECA BRASIL
CLOR LOPERAMIDA MG,GLOBO
HEZO,SUPERA RX
TYLALGIN,GEOLAB
LOSARTAN POTAS.MG,NOVA QUIMICA
VENSATE LP,CRISTALIA
DUCOX,EUROFARMA
CLOR.CIPROFLOXA.MG,MEDLEY
HIDROX.ALUMINIO MG,AIRELA IND FARM
